title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
Platoon;1986;http://www.icheckmovies.com/movies/platoon/;36195;1836;17;383;;http://www.imdb.com/title/tt0091763/;"2015-04-19 01:34:11";no;no;no;no
Tracks;2013;http://www.icheckmovies.com/movies/tracks-2013-1/;511;31;0;26;;http://www.imdb.com/title/tt2167266/;"2015-04-11 14:55:10";no;no;no;no
Norbit;2007;http://www.icheckmovies.com/movies/norbit/;3025;16;0;38;;http://www.imdb.com/title/tt0477051/;"2015-04-10 23:35:02";no;no;no;no
"Alive Inside";2014;http://www.icheckmovies.com/movies/alive+inside/;65;9;0;12;;http://www.imdb.com/title/tt2593392/;"2015-04-09 23:45:57";no;no;no;no
"Mr. & Mrs. Smith";2005;http://www.icheckmovies.com/movies/mr.+and+mrs.+smith/;57450;933;2;125;;http://www.imdb.com/title/tt0356910/;"2015-04-09 13:14:29";no;no;no;no
Rocky;1976;http://www.icheckmovies.com/movies/rocky/;57303;2229;19;419;;http://www.imdb.com/title/tt0075148/;"2015-04-04 23:28:47";no;no;no;no
"22 Jump Street";2014;http://www.icheckmovies.com/movies/22+jump+street/;6562;294;1;89;;http://www.imdb.com/title/tt2294449/;"2015-04-04 00:02:38";no;no;no;no
"Star Wars: Episode III - Revenge of the Sith";2005;http://www.icheckmovies.com/movies/star+wars+episode+iii+-+revenge+of+the+sith/;59018;1776;4;295;;http://www.imdb.com/title/tt0121766/;"2015-03-29 23:41:15";no;no;no;no
"The Graduate";1967;http://www.icheckmovies.com/movies/the+graduate/;35854;2965;25;535;;http://www.imdb.com/title/tt0061722/;"2015-03-21 19:34:32";no;no;no;no
"Some Like It Hot";1959;http://www.icheckmovies.com/movies/some+like+it+hot/;28369;2842;27;575;;http://www.imdb.com/title/tt0053291/;"2015-03-15 23:20:07";no;no;no;no
"Matchstick Men";2003;http://www.icheckmovies.com/movies/matchstick+men/;6238;288;0;63;;http://www.imdb.com/title/tt0325805/;"2015-03-11 00:30:10";no;no;no;no
"Harold and Maude";1971;http://www.icheckmovies.com/movies/harold+and+maude/;11685;1651;15;295;;http://www.imdb.com/title/tt0067185/;"2015-03-08 21:57:29";no;no;no;no
Limitless;2011;http://www.icheckmovies.com/movies/limitless/;19802;1068;0;142;;http://www.imdb.com/title/tt1219289/;"2015-03-08 20:14:04";no;no;no;no
"Il conformista";1970;http://www.icheckmovies.com/movies/il+conformista/;3517;456;15;299;"The Conformist";http://www.imdb.com/title/tt0065571/;"2015-03-07 21:06:56";no;no;no;no
"Kill Bill: Vol. 2";2004;http://www.icheckmovies.com/movies/kill+bill+vol.+2/;72004;4863;8;458;;http://www.imdb.com/title/tt0378194/;"2015-03-06 23:51:39";no;no;no;no
"Raising Arizona";1987;http://www.icheckmovies.com/movies/raising+arizona/;17524;1027;7;216;;http://www.imdb.com/title/tt0093822/;"2015-03-04 22:03:09";no;no;no;no
Presto;2008;http://www.icheckmovies.com/movies/presto/;9363;523;1;64;;http://www.imdb.com/title/tt1245104/;"2015-03-03 00:05:25";no;no;no;no
"L'homme qui plantait des arbres";1987;http://www.icheckmovies.com/movies/lhomme+qui+plantait+des+arbres/;3110;460;4;107;"The Man Who Planted Trees";http://www.imdb.com/title/tt0093488/;"2015-03-02 23:55:34";no;no;no;no
Leviathan;2014;http://www.icheckmovies.com/movies/leviathan-2014/;987;111;2;89;;http://www.imdb.com/title/tt2802154/;"2015-03-01 20:02:28";no;no;no;no
"The Great Train Robbery";1903;http://www.icheckmovies.com/movies/the+great+train+robbery/;7993;163;10;168;;http://www.imdb.com/title/tt0000439/;"2015-03-01 01:59:30";no;no;no;no
"The Adventures of Priscilla, Queen of the Desert";1994;http://www.icheckmovies.com/movies/the+adventures+of+priscilla+queen+of+the+desert/;7562;482;5;123;;http://www.imdb.com/title/tt0109045/;"2015-03-01 01:18:27";no;no;no;no
"One Flew Over the Cuckoo's Nest";1975;http://www.icheckmovies.com/movies/one+flew+over+the+cuckoos+nest/;61706;6711;31;746;;http://www.imdb.com/title/tt0073486/;"2015-02-28 20:14:47";no;no;no;no
"Mean Streets";1973;http://www.icheckmovies.com/movies/mean+streets/;9761;601;17;273;;http://www.imdb.com/title/tt0070379/;"2015-02-28 01:27:27";no;no;no;no
"The Purple Rose of Cairo";1985;http://www.icheckmovies.com/movies/the+purple+rose+of+cairo/;6753;661;5;177;;http://www.imdb.com/title/tt0089853/;"2015-02-25 22:57:21";no;no;no;no
Ida;2013;http://www.icheckmovies.com/movies/ida-2013-1/;1898;177;3;133;;http://www.imdb.com/title/tt2718492/;"2015-02-23 22:43:22";no;no;no;no
"American Sniper";2014;http://www.icheckmovies.com/movies/american+sniper/;3664;99;2;113;;http://www.imdb.com/title/tt2179136/;"2015-02-23 19:01:27";no;no;no;no
"Inherent Vice";2014;http://www.icheckmovies.com/movies/inherent+vice/;2006;167;2;105;;http://www.imdb.com/title/tt1791528/;"2015-02-22 02:58:35";no;no;no;no
"Stake Land";2010;http://www.icheckmovies.com/movies/stake+land/;1141;56;0;72;;http://www.imdb.com/title/tt1464580/;"2015-02-20 23:16:02";no;no;no;no
"We Are What We Are";2013;http://www.icheckmovies.com/movies/we+are+what+we+are/;538;16;0;45;;http://www.imdb.com/title/tt2309021/;"2015-02-20 23:10:02";no;no;no;no
Foxcatcher;2014;http://www.icheckmovies.com/movies/foxcatcher/;2869;106;1;117;;http://www.imdb.com/title/tt1100089/;"2015-02-18 23:28:46";no;no;no;no
"Deux jours, une nuit";2014;http://www.icheckmovies.com/movies/deux+jours+une+nuit/;1377;138;2;111;;http://www.imdb.com/title/tt2737050/;"2015-02-16 22:38:01";no;no;no;no
Wild;2014;http://www.icheckmovies.com/movies/wild-2014-1/;1498;71;0;72;;http://www.imdb.com/title/tt2305051/;"2015-02-15 03:17:44";no;no;no;no
Unstoppable;2010;http://www.icheckmovies.com/movies/unstoppable/;7136;147;0;67;;http://www.imdb.com/title/tt0477080/;"2015-02-15 03:15:15";no;no;no;no
Bowfinger;1999;http://www.icheckmovies.com/movies/bowfinger/;3204;86;0;31;;http://www.imdb.com/title/tt0131325/;"2015-02-15 02:51:35";no;no;no;no
"Fifty Shades of Grey";2015;http://www.icheckmovies.com/movies/fifty+shades+of+grey/;1428;18;1;26;;http://www.imdb.com/title/tt2322441/;"2015-02-15 02:43:55";no;no;no;no
Rumpelstiltskin;1995;http://www.icheckmovies.com/movies/rumpelstiltskin/;69;4;0;8;;http://www.imdb.com/title/tt0114306/;"2015-02-15 02:43:40";no;no;no;no
"The Theory of Everything";2014;http://www.icheckmovies.com/movies/the+theory+of+everything-2014-1/;5074;303;1;129;;http://www.imdb.com/title/tt2980516/;"2015-02-14 16:44:30";no;no;no;no
"The Warriors";1979;http://www.icheckmovies.com/movies/the+warriors/;7123;660;4;163;;http://www.imdb.com/title/tt0080120/;"2015-02-14 01:15:03";no;no;no;no
Boyhood;2014;http://www.icheckmovies.com/movies/boyhood/;9001;1319;10;287;;http://www.imdb.com/title/tt1065073/;"2015-02-13 22:59:41";no;no;no;no
Nightcrawler;2014;http://www.icheckmovies.com/movies/nightcrawler/;6454;705;3;172;;http://www.imdb.com/title/tt2872718/;"2015-02-12 22:35:19";no;no;no;no
"The Imitation Game";2014;http://www.icheckmovies.com/movies/the+imitation+game/;7643;601;8;169;;http://www.imdb.com/title/tt2084970/;"2015-02-11 22:27:30";no;no;no;no
"Still Alice";2014;http://www.icheckmovies.com/movies/still+alice/;1381;77;0;68;;http://www.imdb.com/title/tt3316960/;"2015-02-10 22:47:34";no;no;no;no
Whiplash;2014;http://www.icheckmovies.com/movies/whiplash-2014-1/;8071;1357;9;257;;http://www.imdb.com/title/tt2582802/;"2015-02-09 23:01:08";no;no;no;no
"Creature Comforts";1989;http://www.icheckmovies.com/movies/creature+comforts/;796;52;0;41;;http://www.imdb.com/title/tt0099317/;"2015-02-09 19:11:48";no;no;no;no
GasLand;2010;http://www.icheckmovies.com/movies/gasland/;826;48;0;30;;http://www.imdb.com/title/tt1558250/;"2015-02-09 19:09:06";no;no;no;no
"Sweet Sixteen";2002;http://www.icheckmovies.com/movies/sweet+sixteen/;864;37;2;52;;http://www.imdb.com/title/tt0313670/;"2015-02-09 19:05:57";no;no;no;no
"All the Boys Love Mandy Lane";2006;http://www.icheckmovies.com/movies/all+the+boys+love+mandy+lane/;1148;18;0;44;;http://www.imdb.com/title/tt0490076/;"2015-02-09 18:24:05";no;no;no;no
"The Man with Two Brains";1983;http://www.icheckmovies.com/movies/the+man+with+two+brains/;1226;36;1;41;;http://www.imdb.com/title/tt0085894/;"2015-02-09 18:20:41";no;no;no;no
"Captain Corelli's Mandolin";2001;http://www.icheckmovies.com/movies/captain+corellis+mandolin/;1239;36;0;22;;http://www.imdb.com/title/tt0238112/;"2015-02-09 18:18:44";no;no;no;no
Earthlings;2005;http://www.icheckmovies.com/movies/earthlings/;1470;146;1;33;;http://www.imdb.com/title/tt0358456/;"2015-02-09 18:10:28";no;no;no;no
