title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"The Godfather: Part II";1974;http://www.icheckmovies.com/movies/the+godfather+part+ii/;57814;6489;28;748;;http://www.imdb.com/title/tt0071562/;"2015-04-12 18:45:51";no;no;no;no
"The Incredibles";2004;http://www.icheckmovies.com/movies/the+incredibles/;94162;4048;10;391;;http://www.imdb.com/title/tt0317705/;"2015-04-10 01:56:04";no;no;no;no
"Big Hero 6";2014;http://www.icheckmovies.com/movies/big+hero+6/;5821;477;5;118;;http://www.imdb.com/title/tt2245084/;"2015-04-02 10:21:30";no;no;no;no
"The Hobbit: The Desolation of Smaug";2013;http://www.icheckmovies.com/movies/the+hobbit+the+desolation+of+smaug/;17230;830;4;231;;http://www.imdb.com/title/tt1170358/;"2015-04-01 22:36:12";no;no;no;no
"Pacific Rim";2013;http://www.icheckmovies.com/movies/pacific+rim/;11903;799;1;180;;http://www.imdb.com/title/tt1663662/;"2015-04-01 09:17:05";no;no;no;no
"Annie Hall";1977;http://www.icheckmovies.com/movies/annie+hall/;31491;3707;29;649;;http://www.imdb.com/title/tt0075686/;"2015-04-01 09:16:58";no;no;no;no
Amadeus;1984;http://www.icheckmovies.com/movies/amadeus/;38124;3315;21;443;;http://www.imdb.com/title/tt0086879/;"2015-03-22 12:22:02";no;no;no;no
247°F;2011;http://www.icheckmovies.com/movies/247f/;83;0;0;7;;http://www.imdb.com/title/tt1877543/;"2015-03-21 18:12:45";no;no;no;no
"Monsters, Inc.";2001;http://www.icheckmovies.com/movies/monsters+inc./;96112;4781;12;369;;http://www.imdb.com/title/tt0198781/;"2015-03-17 17:17:13";no;no;no;no
"Sen to Chihiro no kamikakushi";2001;http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/;50393;7193;30;670;"Spirited Away";http://www.imdb.com/title/tt0245429/;"2015-03-15 14:18:58";yes;no;no;no
"Forrest Gump";1994;http://www.icheckmovies.com/movies/forrest+gump/;112774;9825;24;639;;http://www.imdb.com/title/tt0109830/;"2015-03-08 03:37:46";no;no;no;no
