title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"War of the Worlds";2005;http://www.icheckmovies.com/movies/war+of+the+worlds/;48331;656;3;159;;http://www.imdb.com/title/tt0407304/;"2015-04-17 03:25:34";no;no;no;no
"Signal to Noise: Atari: Game Over";2014;http://www.icheckmovies.com/movies/signal+to+noise+atari+game+over/;77;2;0;1;;http://www.imdb.com/title/tt3715406/;"2015-04-11 05:49:31";no;no;no;no
"A Serious Man";2009;http://www.icheckmovies.com/movies/a+serious+man/;15787;1099;5;194;;http://www.imdb.com/title/tt1019452/;"2015-04-11 04:35:55";no;no;no;no
Casino;1995;http://www.icheckmovies.com/movies/casino/;34108;2182;11;341;;http://www.imdb.com/title/tt0112641/;"2015-04-09 15:19:33";no;no;no;no
"Million Dollar Baby";2004;http://www.icheckmovies.com/movies/million+dollar+baby/;52017;2580;10;318;;http://www.imdb.com/title/tt0405159/;"2015-04-06 03:36:16";no;no;no;no
"It Follows";2014;http://www.icheckmovies.com/movies/it+follows/;538;66;0;41;;http://www.imdb.com/title/tt3235888/;"2015-04-05 20:36:26";no;no;no;no
"The Princess Bride";1987;http://www.icheckmovies.com/movies/the+princess+bride/;48441;4633;15;395;;http://www.imdb.com/title/tt0093779/;"2015-04-05 20:35:59";no;no;no;no
"Devil's Advocate";1997;http://www.icheckmovies.com/movies/devils+advocate-1997/;16958;892;1;102;;http://www.imdb.com/title/tt0118971/;"2015-04-05 18:44:25";no;no;no;no
"The Kids Are All Right";2010;http://www.icheckmovies.com/movies/the+kids+are+all+right/;14649;478;3;154;;http://www.imdb.com/title/tt0842926/;"2015-04-01 04:27:43";no;no;no;no
"The English Patient";1996;http://www.icheckmovies.com/movies/the+english+patient/;19800;772;14;248;;http://www.imdb.com/title/tt0116209/;"2015-03-29 17:00:37";no;no;no;no
"Lilo & Stitch";2002;http://www.icheckmovies.com/movies/lilo+and+stitch/;44747;1158;5;135;;http://www.imdb.com/title/tt0275847/;"2015-03-26 04:33:27";no;no;no;no
Swingers;1996;http://www.icheckmovies.com/movies/swingers/;3465;203;1;86;;http://www.imdb.com/title/tt0117802/;"2015-03-25 23:48:30";no;no;no;no
"A Million Ways to Die in the West";2014;http://www.icheckmovies.com/movies/a+million+ways+to+die+in+the+west/;2570;75;0;39;;http://www.imdb.com/title/tt2557490/;"2015-03-25 01:51:29";no;no;no;no
"The Birds";1963;http://www.icheckmovies.com/movies/the+birds/;31015;1460;15;417;;http://www.imdb.com/title/tt0056869/;"2015-03-21 04:04:44";no;no;no;no
"I Am Legend";2007;http://www.icheckmovies.com/movies/i+am+legend/;61407;1769;2;178;;http://www.imdb.com/title/tt0480249/;"2015-03-10 01:25:46";no;no;no;no
"Schindler's List";1993;http://www.icheckmovies.com/movies/schindlers+list/;71242;6360;30;724;;http://www.imdb.com/title/tt0108052/;"2015-03-09 03:45:11";no;no;no;no
Orphan;2009;http://www.icheckmovies.com/movies/orphan/;7364;331;0;94;;http://www.imdb.com/title/tt1148204/;"2015-03-07 07:06:56";no;no;no;no
Presto;2008;http://www.icheckmovies.com/movies/presto/;9352;523;1;64;;http://www.imdb.com/title/tt1245104/;"2015-03-03 00:26:55";no;no;no;no
"Edge of Tomorrow";2014;http://www.icheckmovies.com/movies/edge+of+tomorrow/;8814;688;5;148;;http://www.imdb.com/title/tt1631867/;"2015-03-02 02:50:26";no;no;no;no
Braveheart;1995;http://www.icheckmovies.com/movies/braveheart/;71225;3718;19;383;;http://www.imdb.com/title/tt0112573/;"2015-02-28 04:50:56";no;no;no;no
"2001: A Space Odyssey";1968;http://www.icheckmovies.com/movies/2001+a+space+odyssey/;53742;6158;36;901;;http://www.imdb.com/title/tt0062622/;"2015-02-27 03:36:33";no;no;no;no
"In a World...";2013;http://www.icheckmovies.com/movies/in+a+world.../;1402;57;0;53;;http://www.imdb.com/title/tt2294677/;"2015-02-25 04:56:18";no;no;no;no
"Deux jours, une nuit";2014;http://www.icheckmovies.com/movies/deux+jours+une+nuit/;1371;138;2;111;;http://www.imdb.com/title/tt2737050/;"2015-02-22 20:53:05";no;no;no;no
Horns;2013;http://www.icheckmovies.com/movies/horns/;1145;48;0;48;;http://www.imdb.com/title/tt1528071/;"2015-02-22 03:25:32";no;no;no;no
"Piled Higher and Deeper";2011;http://www.icheckmovies.com/movies/piled+higher+and+deeper/;42;3;0;1;;http://www.imdb.com/title/tt2066040/;"2015-02-21 03:33:07";no;no;no;no
"The Nutty Professor";1996;http://www.icheckmovies.com/movies/the+nutty+professor-1996/;33278;128;2;69;;http://www.imdb.com/title/tt0117218/;"2015-02-17 21:23:21";no;no;no;no
"Still Alice";2014;http://www.icheckmovies.com/movies/still+alice/;1362;76;0;68;;http://www.imdb.com/title/tt3316960/;"2015-02-17 04:00:50";no;no;no;no
Oliver!;1968;http://www.icheckmovies.com/movies/oliverexclamation/;7751;212;7;120;;http://www.imdb.com/title/tt0063385/;"2015-02-17 00:41:34";no;no;no;no
Nightcrawler;2014;http://www.icheckmovies.com/movies/nightcrawler/;6343;689;3;168;;http://www.imdb.com/title/tt2872718/;"2015-02-16 19:55:42";no;no;no;no
"Inherent Vice";2014;http://www.icheckmovies.com/movies/inherent+vice/;1931;160;2;103;;http://www.imdb.com/title/tt1791528/;"2015-02-16 05:50:17";no;no;no;no
"The Warriors";1979;http://www.icheckmovies.com/movies/the+warriors/;7112;660;4;162;;http://www.imdb.com/title/tt0080120/;"2015-02-13 23:44:44";no;no;no;no
Selma;2014;http://www.icheckmovies.com/movies/selma-2014-1/;1941;100;2;103;;http://www.imdb.com/title/tt1020072/;"2015-02-11 04:45:04";no;no;no;no
"Ghost Town";2008;http://www.icheckmovies.com/movies/ghost+town/;3776;100;0;34;;http://www.imdb.com/title/tt0995039/;"2015-02-09 18:14:18";no;no;no;no
"The Borrowers";1997;http://www.icheckmovies.com/movies/the+borrowers/;1750;20;0;23;;http://www.imdb.com/title/tt0118755/;"2015-02-09 18:13:53";no;no;no;no
Chef;2014;http://www.icheckmovies.com/movies/chef/;2854;150;0;61;;http://www.imdb.com/title/tt2883512/;"2015-02-09 04:55:41";no;no;no;no
"The Guilt Trip";2012;http://www.icheckmovies.com/movies/the+guilt+trip/;1174;14;0;23;;http://www.imdb.com/title/tt1694020/;"2015-02-09 02:49:05";no;no;no;no
Foxcatcher;2014;http://www.icheckmovies.com/movies/foxcatcher/;2845;105;1;117;;http://www.imdb.com/title/tt1100089/;"2015-02-09 01:22:37";no;no;no;no
"A Single Life";2014;http://www.icheckmovies.com/movies/a+single+life/;93;6;0;9;;http://www.imdb.com/title/tt3838700/;"2015-02-07 05:25:42";no;no;no;no
"Me and My Moulton";2014;http://www.icheckmovies.com/movies/me+and+my+moulton/;139;4;0;13;;http://www.imdb.com/title/tt3946086/;"2015-02-07 05:25:22";no;no;no;no
Footprints;2014;http://www.icheckmovies.com/movies/footprints-2014/;45;3;0;1;;http://www.imdb.com/title/tt4246790/;"2015-02-07 05:25:08";no;no;no;no
Feast;2014;http://www.icheckmovies.com/movies/feast-2014-1/;715;43;1;24;;http://www.imdb.com/title/tt3689498/;"2015-02-07 05:24:47";no;no;no;no
Duet;2014;http://www.icheckmovies.com/movies/duet-2014/;54;3;0;2;;http://www.imdb.com/title/tt4058120/;"2015-02-07 05:24:26";no;no;no;no
"The Dam Keeper";2014;http://www.icheckmovies.com/movies/the+dam+keeper/;102;12;0;9;;http://www.imdb.com/title/tt3326262/;"2015-02-07 05:24:10";no;no;no;no
"The Bigger Picture";2014;http://www.icheckmovies.com/movies/the+bigger+picture/;83;1;0;10;;http://www.imdb.com/title/tt3610188/;"2015-02-07 05:23:41";no;no;no;no
"Cool Runnings";1993;http://www.icheckmovies.com/movies/cool+runnings/;8478;339;0;64;;http://www.imdb.com/title/tt0106611/;"2015-02-05 00:27:42";no;no;no;no
Evolution;2001;http://www.icheckmovies.com/movies/evolution/;6093;134;0;39;;http://www.imdb.com/title/tt0251075/;"2015-02-05 00:27:20";no;no;no;no
"American Sniper";2014;http://www.icheckmovies.com/movies/american+sniper/;3584;97;2;111;;http://www.imdb.com/title/tt2179136/;"2015-02-04 04:57:33";no;no;no;no
"Attack the Block";2011;http://www.icheckmovies.com/movies/attack+the+block/;6594;504;0;138;;http://www.imdb.com/title/tt1478964/;"2015-02-03 19:31:26";no;no;no;no
"How to Train Your Dragon 2";2014;http://www.icheckmovies.com/movies/how+to+train+your+dragon+2/;7403;441;4;134;;http://www.imdb.com/title/tt1646971/;"2015-02-03 05:36:53";no;no;no;no
"The Boxtrolls";2014;http://www.icheckmovies.com/movies/the+boxtrolls/;1220;67;0;59;;http://www.imdb.com/title/tt0787474/;"2015-02-03 02:52:08";no;no;no;no
"Harry Brown";2009;http://www.icheckmovies.com/movies/harry+brown/;3599;173;0;55;;http://www.imdb.com/title/tt1289406/;"2015-02-02 23:48:13";no;no;no;no
"Big Hero 6";2014;http://www.icheckmovies.com/movies/big+hero+6/;5821;477;5;118;;http://www.imdb.com/title/tt2245084/;"2015-02-02 02:03:05";no;no;no;no
"Kaguyahime no monogatari";2013;http://www.icheckmovies.com/movies/kaguyahime+no+monogatari/;858;123;0;77;;http://www.imdb.com/title/tt2576852/;"2015-02-01 14:35:00";no;no;no;no
Frank;2014;http://www.icheckmovies.com/movies/frank-2014-1/;1924;159;0;67;;http://www.imdb.com/title/tt1605717/;"2015-01-27 04:06:49";no;no;no;no
Catfish;2010;http://www.icheckmovies.com/movies/catfish/;4527;239;0;65;;http://www.imdb.com/title/tt1584016/;"2015-01-26 04:40:50";no;no;no;no
"Grizzly Man";2005;http://www.icheckmovies.com/movies/grizzly+man/;8340;625;7;177;;http://www.imdb.com/title/tt0427312/;"2015-01-26 03:22:57";no;no;no;no
"Birdman or (The Unexpected Virtue of Ignorance)";2014;http://www.icheckmovies.com/movies/birdman+or+the+unexpected+virtue+of+ignorance/;9277;1221;6;249;;http://www.imdb.com/title/tt2562232/;"2015-01-25 20:21:29";no;no;no;no
"The Fifth Element";1997;http://www.icheckmovies.com/movies/the+fifth+element/;52709;4029;6;248;;http://www.imdb.com/title/tt0119116/;"2015-01-24 23:31:16";no;no;yes;no
"Run Fatboy Run";2007;http://www.icheckmovies.com/movies/run+fatboy+run/;4483;103;0;27;;http://www.imdb.com/title/tt0425413/;"2015-01-22 17:48:23";no;no;no;no
Sharknado;2013;http://www.icheckmovies.com/movies/sharknado/;1542;26;0;42;;http://www.imdb.com/title/tt2724064/;"2015-01-21 16:41:22";no;no;no;no
"Il buono, il brutto, il cattivo.";1966;http://www.icheckmovies.com/movies/il+buono+il+brutto+il+cattivo./;38942;5660;21;688;"The Good, the Bad and the Ugly";http://www.imdb.com/title/tt0060196/;"2015-01-20 04:43:27";no;no;no;no
"Sexy Beast";2000;http://www.icheckmovies.com/movies/sexy+beast/;5028;316;5;95;;http://www.imdb.com/title/tt0203119/;"2015-01-20 01:13:38";no;no;no;no
Whiplash;2014;http://www.icheckmovies.com/movies/whiplash-2014-1/;7958;1345;9;252;;http://www.imdb.com/title/tt2582802/;"2015-01-19 06:02:24";no;no;no;no
"The Imitation Game";2014;http://www.icheckmovies.com/movies/the+imitation+game/;7508;591;8;167;;http://www.imdb.com/title/tt2084970/;"2015-01-18 06:37:17";no;no;no;no
"Mahi va gorbeh";2013;http://www.icheckmovies.com/movies/mahi+va+gorbeh/;23;5;0;2;;http://www.imdb.com/title/tt3257072/;"2015-01-17 22:26:25";no;no;no;no
"Rosemary's Baby";1968;http://www.icheckmovies.com/movies/rosemarys+baby/;27246;2210;18;522;;http://www.imdb.com/title/tt0063522/;"2015-01-16 04:05:22";no;no;no;no
